datenquelle|standdatum|offertnummerintern|vertriebspartnergpnr|fallcode|provisionsanteil|leistungstraegerart
6050|20170114|00105089849|2346923|0||1
6050|20170114|00105144649|2346923|0|1|20
6050|20170114|00105144649|2346923|0||1
6050|20170114|00105151474|2081367|0|1|20
6050|20170114|00105151474|2081367|0||1
6050|20170114|00105151485|2081367|0|1|20
6050|20170114|00105151485|2081367|0||1
6050|20170114|00105149104|2346923|0|1|20
6050|20170114|00105149104|2346923|0||1
6050|20170114|00105146898|2304400|0|1|20
6050|20170114|00105146898|2304400|0||1
6050|20170114|00105146898|2610408|0|0|21
6050|20170114|00105146907|2304400|0|1|20
6050|20170114|00105146907|2304400|0||1
6050|20170114|00105146907|2610408|0|0|21
6050|20170114|00105150941|2600279|0|1|20
6050|20170114|00105150941|2600279|0||1
6050|20170114|00105139698|2093077|0||1
6050|20170114|00105139698|2093077|0|1|20
6050|20170114|00105150766|2058264|0|1|20
6050|20170114|00105150766|2058264|0||1
6050|20170114|00105148284|1083115|0|1|20
6050|20170114|00105148284|1083115|0||1
6050|20170114|00105143267|2523862|0||1
6050|20170114|00105143267|2523862|0|1|20
6050|20170114|00105151427|2058264|0|1|20
6050|20170114|00105151427|2058264|0||1
6050|20170114|00105113642|2159861|0||1
6050|20170114|00105113642|2159861|0|1|20
6050|20170114|00105146133|2580220|0|1|20
6050|20170114|00105146133|2580220|0||1
6050|20170114|00105143193|2580217|0|1|20
6050|20170114|00105143193|2580217|0||1
6050|20170114|00105139112|2346923|0|1|20
6050|20170114|00105139112|2346923|0||1
6050|20170114|00105148287|2580221|0|1|20
6050|20170114|00105148287|2580221|0||1
6050|20170114|00105144684|2346923|0|1|20
6050|20170114|00105144684|2346923|0||1
6050|20170114|00105116238|2662134|0|1|20
6050|20170114|00105116238|2662134|0||1
6050|20170114|00105113346|2346923|0|1|20
6050|20170114|00105113346|2346923|0||1
6050|20170114|00105147883|2304400|0|1|20
6050|20170114|00105147883|2304400|0||1
6050|20170114|00105147883|2263667|0|0|21
6050|20170114|00105151017|2278382|0|1|20
6050|20170114|00105151017|2278382|0||1
6050|20170114|00105141435|2081367|0|1|20
6050|20170114|00105141435|2081367|0||1
6050|20170114|00105117886|2580217|0|1|20
6050|20170114|00105117886|2580217|0||1
6050|20170114|00105146249|222431|0|1|20
6050|20170114|00105146249|222431|0||1
6050|20170114|00105147762|2346923|0|1|20
6050|20170114|00105147762|2346923|0||1
6050|20170114|00105143811|2626771|0|1|20
6050|20170114|00105143811|2626771|0||1
6050|20170114|00105144802|2587462|0|1|20
6050|20170114|00105144802|2587462|0||1
6050|20170114|00105144231|2626771|0|1|20
6050|20170114|00105144231|2626771|0||1
6050|20170114|00105150725|231521|0|1|20
6050|20170114|00105150725|231521|0||1
6050|20170114|00105151347|2660962|0|1|20
6050|20170114|00105151347|2660962|0||1
6050|20170114|00105106163|2656278|0|1|20
6050|20170114|00105106163|2656278|0||1
6050|20170114|00105150996|2046374|0|1|20
6050|20170114|00105150996|2046374|0||1
6050|20170114|00105148943|2346923|0||1
6050|20170114|00105148943|2346923|0|1|20
6050|20170114|00105146464|2346923|0|1|20
6050|20170114|00105146464|2346923|0||1
6050|20170114|00105148606|2346923|0|1|20
6050|20170114|00105148606|2346923|0||1
6050|20170114|00105150674|2346923|0|1|20
6050|20170114|00105150674|2346923|0||1
6050|20170114|00105150558|2233005|0|1|20
6050|20170114|00105150558|2233005|0||1
6050|20170114|00105143380|2346923|0|1|20
6050|20170114|00105143380|2346923|0||1
6050|20170114|00105131366|2580223|0|1|20
6050|20170114|00105131366|2580223|0||1
6050|20170114|00105146828|2346923|0|1|20
