datenquelle|standdatum|offertnummerintern|aufschubzeitmonate|laufendenummer|ablaufrueckgewaehr|ablauf|einmalpraemie|jaehrlichepraemie|praemienzahldauermonate|praemienzahlungbis|rabattnachzahlweise|tarifid
6050|20170114|00105153493|0|1||20560105|0|4114.8|467|20560105|0|XDP2
6050|20170114|00105153520|0|2||20560205|0|150.8|456|20550205|0|V2
6050|20170114|00105153542|0|1||20390605|0|2238|268|20390605|0|XDP2
6050|20170114|00105153547|0|1||20341205|0|1675.2|213|20341205|0|XDP2
6050|20170114|00105153559|0|1||20320201|0|35700|180|20320201|0|FGP
6050|20170114|00105153642|0|1||20581005|0|2391.6|499|20581005|0|XDP2
6050|20170114|00105153661|0|1||20570205|0|4201.2|480|20570205|0|XDP2
6050|20170114|00105153662|0|1||20620205|0|2253.6|539|20620205|0|XDP1
6050|20170114|00105153667|0|2||20410201|10454|0|0|20170201|0|4N
6050|20170114|00105150847|0|1||20320205|0|7552.8|180|20320205|0|XDP1
6050|20170114|00105150854|0|1||20450205|0|1854|336|20450205|0|XDP3
6050|20170114|00105150935|0|1||20580205|0|2254.8|492|20580205|0|XDP3
6050|20170114|00105150961|0|1||20530505|0|3592.8|435|20530505|0|XDP2
6050|20170114|00105153641|0|2||20270116|3200|0|0|20170116|0|4I
6050|20170114|00105150856|0|1||20580205|0|1696.8|492|20580205|0|XDP3
6050|20170114|00105151145|0|1||20420205|0|3949.8|300|20420205|0|40Z
